ensembl_gene_id	chromosome_name	gene_biotype	description	protein_id	go_id
1	AAEL003192	NIGP01000133	protein_coding	mfs transporter [Source:VB Community Annotation]	EAT45535.1	GO:0016021
2	AAEL003192	NIGP01000133	protein_coding	mfs transporter [Source:VB Community Annotation]	EAT45535.1	GO:0055085
3	AAEL003192	NIGP01000133	protein_coding	mfs transporter [Source:VB Community Annotation]	EAT45535.1	GO:0022857
4	AAEL004489	NIGP01000295	protein_coding	Daxx-like protein [Source:VB Community Annotation]		
5	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT48397.1	GO:0003735
6	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT48397.1	GO:0006412
7	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT48397.1	GO:0005840
8	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT48397.1	GO:0005622
9	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT44098.1	GO:0003735
10	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT44098.1	GO:0006412
11	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT44098.1	GO:0005840
12	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT44098.1	GO:0005622
13	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EJY57537.1	GO:0003735
14	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EJY57537.1	GO:0006412
15	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EJY57537.1	GO:0005840
16	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EJY57537.1	GO:0005622
17	AAEL005433	NIGP01000239	protein_coding		EAT43083.1	GO:0007093
18	AAEL005433	NIGP01000239	protein_coding		EAT43083.1	GO:1990423
19	AAEL005939	NIGP01000497	protein_coding	mpv17 protein [Source:VB Community Annotation]	EJY57608.1	GO:0016021
20	AAEL006081	NIGP01000525	protein_coding	NADPH fad oxidoreductase [Source:VB Community Annotation]	EAT42389.1	GO:0016491
21	AAEL006081	NIGP01000525	protein_coding	NADPH fad oxidoreductase [Source:VB Community Annotation]	EAT42389.1	GO:0055114
22	AAEL006772	NIGP01000440	protein_coding			GO:0045132
23	AAEL006772	NIGP01000440	protein_coding			GO:0007062
24	AAEL006772	NIGP01000440	protein_coding			GO:0000070
25	AAEL006772	NIGP01000440	protein_coding			GO:0016407
26	AAEL007077	NIGP01000140	protein_coding	integrin beta 1 binding protein (melusin) [Source:VB Community Annotation]	EAT41267.1	
27	AAEL009339	NIGP01000080	protein_coding	activin receptor type I, putative [Source:VB Community Annotation]		GO:0005524
28	AAEL009339	NIGP01000080	protein_coding	activin receptor type I, putative [Source:VB Community Annotation]		GO:0016020
29	AAEL009339	NIGP01000080	protein_coding	activin receptor type I, putative [Source:VB Community Annotation]		GO:0016021
30	AAEL009339	NIGP01000080	protein_coding	activin receptor type I, putative [Source:VB Community Annotation]		GO:0004675
31	AAEL009339	NIGP01000080	protein_coding	activin receptor type I, putative [Source:VB Community Annotation]		GO:0004672
32	AAEL009339	NIGP01000080	protein_coding	activin receptor type I, putative [Source:VB Community Annotation]		GO:0007178
33	AAEL009339	NIGP01000080	protein_coding	activin receptor type I, putative [Source:VB Community Annotation]		GO:0006468
34	AAEL009987	NIGP01000650	protein_coding			GO:0046872
35	AAEL011754	NIGP01000599	protein_coding			
36	AAEL012339	NIGP01000763	protein_coding	cdk1 [Source:VB Community Annotation]	EAT35497.1	GO:0005524
37	AAEL012339	NIGP01000763	protein_coding	cdk1 [Source:VB Community Annotation]	EAT35497.1	GO:0004674
38	AAEL012339	NIGP01000763	protein_coding	cdk1 [Source:VB Community Annotation]	EAT35497.1	GO:0004672
39	AAEL012339	NIGP01000763	protein_coding	cdk1 [Source:VB Community Annotation]	EAT35497.1	GO:0006468
40	AAEL012339	NIGP01000763	protein_coding	cdk1 [Source:VB Community Annotation]	EAT34426.1	GO:0005524
41	AAEL012339	NIGP01000763	protein_coding	cdk1 [Source:VB Community Annotation]	EAT34426.1	GO:0004674
42	AAEL012339	NIGP01000763	protein_coding	cdk1 [Source:VB Community Annotation]	EAT34426.1	GO:0004672
43	AAEL012339	NIGP01000763	protein_coding	cdk1 [Source:VB Community Annotation]	EAT34426.1	GO:0006468
44	AAEL017258	NIGP01000139	protein_coding		EJY57413.1	GO:0016021
45	AAEL017258	NIGP01000139	protein_coding			
46	AAEL020133	NIGP01000667	protein_coding			
47	AAEL020197	NIGP01000470	protein_coding			GO:0019867
48	AAEL020524	NIGP01000124	protein_coding			GO:0016020
49	AAEL020524	NIGP01000124	protein_coding			GO:0016021
50	AAEL020524	NIGP01000124	protein_coding			GO:0005215
51	AAEL020524	NIGP01000124	protein_coding			GO:0055085
52	AAEL020524	NIGP01000124	protein_coding			GO:0022857
53	AAEL021190	NIGP01000077	protein_coding			GO:0016020
54	AAEL021190	NIGP01000077	protein_coding			GO:0009966
55	AAEL021264	NIGP01000610	protein_coding			
56	AAEL021447	NIGP01000184	protein_coding			GO:0016020
57	AAEL021447	NIGP01000184	protein_coding			GO:0015018
58	AAEL021755	NIGP01000544	protein_coding			
59	AAEL021767	NIGP01000446	protein_coding			
60	AAEL022013	NIGP01000101	protein_coding			GO:0003677
61	AAEL022013	NIGP01000101	protein_coding			GO:0008270
62	AAEL022013	NIGP01000101	protein_coding			GO:0005515
63	AAEL022167	NIGP01000184	protein_coding			
64	AAEL022167	NIGP01000184	protein_coding			GO:0003676
65	AAEL022169	NIGP01000101	protein_coding			GO:0006396
66	AAEL022169	NIGP01000101	protein_coding			GO:0004525
67	AAEL022530	NIGP01000558	protein_coding			GO:0007186
68	AAEL022530	NIGP01000558	protein_coding			GO:0019236
69	AAEL023059	NIGP01000806	protein_coding			GO:0046983
70	AAEL023240	NIGP01000525	protein_coding	U3 small nucleolar ribonucleoprotein component [Source:UniProtKB/TrEMBL;Acc:Q1HQS9]		
71	AAEL023255	NIGP01000422	protein_coding	Ribonucleoside-diphosphate reductase [Source:UniProtKB/TrEMBL;Acc:Q8WRS8]	EAT37356.1	GO:0005524
72	AAEL023255	NIGP01000422	protein_coding	Ribonucleoside-diphosphate reductase [Source:UniProtKB/TrEMBL;Acc:Q8WRS8]	EAT37356.1	GO:0055114
73	AAEL023255	NIGP01000422	protein_coding	Ribonucleoside-diphosphate reductase [Source:UniProtKB/TrEMBL;Acc:Q8WRS8]	EAT37356.1	GO:0006260
74	AAEL023255	NIGP01000422	protein_coding	Ribonucleoside-diphosphate reductase [Source:UniProtKB/TrEMBL;Acc:Q8WRS8]	EAT37356.1	GO:0004748
75	AAEL023468	NIGP01000557	protein_coding	Protein FAM50 homolog [Source:UniProtKB/Swiss-Prot;Acc:Q16U25]	EAT38016.1	GO:0005634
76	AAEL023558	NIGP01000482	protein_coding			GO:0005319
77	AAEL023558	NIGP01000482	protein_coding			GO:0006869
78	AAEL023558	NIGP01000482	protein_coding			GO:0005548
79	AAEL023647	NIGP01000779	protein_coding			GO:0003677
80	AAEL023647	NIGP01000779	protein_coding			GO:0005515
81	AAEL023762	NIGP01000767	protein_coding			
82	AAEL024089	NIGP01000056	protein_coding			
83	AAEL024101	NIGP01000714	protein_coding			GO:0007264
84	AAEL024101	NIGP01000714	protein_coding			GO:0005085
85	AAEL024101	NIGP01000714	protein_coding			GO:0005622
86	AAEL024321	NIGP01000446	protein_coding			GO:0003677
87	AAEL024321	NIGP01000446	protein_coding			GO:0016514
88	AAEL024321	NIGP01000446	protein_coding			GO:0071565
89	AAEL024321	NIGP01000446	protein_coding			GO:0071564
90	AAEL024321	NIGP01000446	protein_coding			GO:0005515
91	AAEL024358	NIGP01000599	protein_coding	Membrane trafficking protein emp24/gp25/p24 family member [Source:UniProtKB/TrEMBL;Acc:Q1HQL7]		GO:0016021
92	AAEL024455	NIGP01000268	protein_coding			GO:0046872
93	AAEL024516	NIGP01000160	protein_coding		EAT36321.1	GO:0005524
94	AAEL024516	NIGP01000160	protein_coding		EAT36321.1	GO:0035556
95	AAEL024516	NIGP01000160	protein_coding		EAT36321.1	GO:0004674
96	AAEL024516	NIGP01000160	protein_coding		EAT36321.1	GO:0004672
97	AAEL024516	NIGP01000160	protein_coding		EAT36321.1	GO:0006468
98	AAEL024775	NIGP01000158	protein_coding			GO:0005737
99	AAEL024775	NIGP01000158	protein_coding			GO:0003743
100	AAEL024775	NIGP01000158	protein_coding			GO:0005852
101	AAEL024815	NIGP01000666	protein_coding			GO:0005779
102	AAEL024815	NIGP01000666	protein_coding			GO:0016559
103	AAEL024964	NIGP01000470	protein_coding			
104	AAEL025133	NIGP01000737	protein_coding			GO:0031251
105	AAEL025133	NIGP01000737	protein_coding			GO:0000289
106	AAEL025133	NIGP01000737	protein_coding			GO:0003723
107	AAEL025133	NIGP01000737	protein_coding			GO:0006397
108	AAEL025379	NIGP01000188	protein_coding			GO:0072659
109	AAEL025772	NIGP01000525	protein_coding		EAT42388.1	GO:0006406
110	AAEL025772	NIGP01000525	protein_coding		EAT42388.1	GO:0005515
111	AAEL025772	NIGP01000525	protein_coding		EAT42388.1	GO:0000346
112	AAEL026175	NIGP01000184	protein_coding			GO:0005319
113	AAEL026175	NIGP01000184	protein_coding			GO:0006869
114	AAEL026215	NIGP01000077	protein_coding		EJY57621.1	GO:0005524
115	AAEL026536	NIGP01000043	protein_coding			GO:0000290
116	AAEL026634	NIGP01000221	protein_coding			GO:0003676
117	AAEL026780	NIGP01000101	protein_coding			
118	AAEL026812	NIGP01000470	protein_coding			
119	AAEL027656	NIGP01000214	protein_coding			GO:0046983
